year,treatment,rep,variety,yield,RCA,root_survival,spike,SDW60DT,FDW,NDRE30DT,NDRE60DT,NDRE30DR,60DTChlorophyll,NDVI60DT,ground_60DT,GW1000
2019,wl,1,Frank,5.12,0.05,0.001,372,0.21,3.44,0.14,0.11,0.17,0.0013816,0.25,2.51,45.88
2019,wl,2,Frank,2.64,0.05,0.052631579,204,0.17,2.27,0.15,0.12,0.14,0.0008628,0.25,1.24,52.5
2019,wl,3,Frank,4.76,0.1,0.001,356,0.18,3.16,0.12,0.11,0.19,0.0011469,0.26,2.5,48.61
2019,wl,4,Frank,4.188,0.1,0.001,304,0.13,3.42,0.15,0.11,0.15,0.0008869,0.3,1.72,45.92
2019,con,1,Frank,11.72,0,NA,776,0.77,6.87,0.23,0.23,0.327,0.1074146,0.74,153.66,43.14
2019,con,2,Frank,11.2,0,NA,800,0.98,6.95,0.25,0.26,0.37,0.1194355,0.77,163.12,44.57
2019,con,3,Frank,11.44,0,NA,800,1.02,5.75,0.24,0.26,0.37,0.1115795,0.75,158.82,39.72
2019,con,4,Frank,10.1156,0,NA,836,0.96,5.22,0.25,0.26,0.36,0.1094426,0.76,157.48,37.81
2019,wl,1,Macq,7.016,0.1,0.666666667,512,0.22,3.89,0.14,0.12,0.27,0.005859,0.31,12.1,36.06
2019,wl,2,Macq,5.8,0.15,0.421052632,520,0.24,4.49,0.15,0.11,0.25,0.0064649,0.3,13.25,39.35
2019,wl,3,Macq,8.6,0.15,0.652173913,544,0.23,4.53,0.14,0.13,0.29,0.0097243,0.32,17.78,41.6
2019,wl,4,Macq,7.56,0.15,0.421052632,432,0.25,3.56,0.11,0.1,0.23,0.0025284,0.25,5.07,40
2019,con,1,Macq,9.5496,0,NA,692,0.79,4.2,0.22,0.21,0.31,0.0922518,0.71,147.17,34.32
2019,con,2,Macq,10.234,0,NA,860,0.65,4.89,0.26,0.27,0.38,0.1298411,0.78,180.55,33.06
2019,con,3,Macq,12.8412,0,NA,1044,0.64,6.38,0.24,0.24,0.36,0.1118628,0.73,164.38,32.37
2019,con,4,Macq,10.1304,0,NA,804,0.71,5.13,0.24,0.25,0.38,0.1156427,0.77,169.2,33.16
2019,wl,1,Macq-,7.34,0.15,0.413806255,500,0.27,4.51,0.14,0.12,0.27,0.0057652,0.32,12.84,43.18
2019,wl,2,Macq-,7.32,0.15,0.405239436,780,0.21,5.2,0.22,0.21,0.33,0.01024376,0.68,18.38,42.76
2019,wl,3,Macq-,7.3,0.15,0.396672616,700,0.27,5.42,0.18,0.13,0.31,0.0249921,0.39,39.45,46.45
2019,wl,4,Macq-,7.28,0.15,0.388105797,804,0.25,5.38,0.13,0.14,0.31,0.0202846,0.38,32.72,44.47
2019,con,1,Macq-,10.368,0,NA,984,0.8,4.22,0.13,0.12,0.36,0.089632,0.32,176.92,34.82
2019,con,2,Macq-,8.97,0,NA,800,0.78,5.36,0.22,0.23,0.34,0.1069992,0.7,155.24,34.82
2019,con,3,Macq-,10.416,0,NA,840,0.63,5.27,0.2,0.22,0.35,0.0880761,0.67,127.88,35.94
2019,con,4,Macq-,9.9392,0,NA,968,1.07,5.18,0.18,0.18,0.36,0.0660009,0.62,109.04,39.66
2019,wl,1,Macq+,8.912,0.7,0.76,576,0.23,4.62,0.13,0.11,0.25,0.0033195,0.28,7.24,42.98
2019,wl,2,Macq+,8.112,0.75,0.794117647,540,0.24,4.78,0.16,0.12,0.31,0.0098979,0.35,19.65,38.52
2019,wl,3,Macq+,10.64,0.8,1,696,0.21,6.44,0.12,0.12,0.31,0.009154,0.33,17.51,40.23
2019,wl,4,Macq+,8,0.85,0.736842105,584,0.26,5.4,0.11,0.11,0.28,0.0043533,0.31,9.85,39.47
2019,con,1,Macq+,8.856,0,NA,720,0.8,5.67,0.25,0.26,0.35,0.1361489,0.8,190.1,32.37
2019,con,2,Macq+,10.2,0,NA,680,1.15,3.84,0.22,0.19,0.33,0.1077933,0.69,123.59,36.05
2019,con,3,Macq+,9.1392,0,NA,752,0.72,4.49,0.21,0.25,0.36,0.1019802,0.78,156.22,35.33
2019,con,4,Macq+,10.3576,0,NA,648,1.22,5.4,0.23,0.26,0.37,0.1114118,0.78,168.39,36.05
2019,wl,1,Planet,6.16,0.15,0.384615385,420,0.2,3.8,0.15,0.11,0.19,0.0029913,0.28,7.97,46.91
2019,wl,2,Planet,6.844,0.15,0.541666667,420,0.27,4.84,0.13,0.11,0.22,0.0022464,0.28,5.59,55.67
2019,wl,3,Planet,4.696,0.2,0.369871795,292,0.27,3.2,0.11,0.1,0.2,0.0025628,0.26,5.39,44.67
2019,wl,4,Planet,5.252,0.25,0.10101,128,0.2,2.18,0.11,0.11,0.18,0.001158,0.27,2.84,47.17
2019,con,1,Planet,11.28,0,NA,668,0.88,4.29,0.16,0.19,0.32,0.0698477,0.65,107.45,38.6
2019,con,2,Planet,11.356,0,NA,680,1.04,5.87,0.21,0.2,0.34,0.1023949,0.72,156.71,45.26
2019,con,3,Planet,12.96,0,NA,864,0.82,5.42,0.18,0.19,0.34,0.073494,0.67,121.34,46.88
2019,con,4,Planet,11.696,0,NA,860,0.69,5.6,0.2,0.18,0.3,0.0814147,0.63,130.86,42.5
